Месяц,Работа,Товар,Услуга
2024-07,382.5478529558845,1779.7828863555906,228.8857888533489
2024-08,394.7013251621137,1836.4800662965004,234.46344425770405
2024-09,406.8547973683429,1893.1772462374101,240.04109966205914
2024-10,419.008269574572,1949.87442617832,245.61875506641422
2024-11,431.1617417808012,2006.5716061192302,251.19641047076937
2024-12,443.3152139870304,2063.26878606014,256.77406587512445
2025-01,455.46868619325954,2119.9659660010498,262.35172127947953
2025-02,467.62215839948874,2176.66314594196,267.9293766838347
2025-03,479.77563060571794,2233.36032588287,273.50703208818976
2025-04,491.92910281194713,2290.0575058237796,279.08468749254484
2025-05,504.08257501817627,2346.75468576469,284.6623428969
2025-06,516.2360472244055,2403.4518657055996,290.23999830125507
